+	total	0.33128655910491944
+	more	0.3290543785095215
+	earns	0.3282065033912659
+	then	0.3281932473182678
+	there	0.323031485080719
+	needed	0.3219479024410248
+	got	0.32057490944862366
+	It	0.3200273811817169
+	each	0.31948408484458923
+	free	0.3192169964313507
+	has	0.31915250420570374
+	party	0.3188963830471039
+	started	0.31884831190109253
+	found	0.3184922933578491
+	purchased	0.3183750510215759
+	that	0.31811779737472534
+	amount	0.31801971793174744
+	be	0.3179248869419098
+	same	0.3174968361854553
+	have	0.3174828588962555
+	starts	0.31745487451553345
+	oranges	0.3174275755882263
+	working	0.31713777780532837
+	wanted	0.3168671429157257
+	Joan	0.3166739344596863
+	high	0.3166430592536926
+	mall	0.3165856897830963
+	pants	0.3165658712387085
+	pennies	0.31642138957977295
+	How	0.3163392245769501
+	bars	0.31624263525009155
+	this	0.3162229359149933
+	it	0.3161308467388153
+	black	0.3161008358001709
+	students	0.3159356713294983
+	originally	0.31581631302833557
+	teams	0.3157673478126526
+	dog	0.3156997859477997
+	than	0.315577894449234
+	Mark	0.3155413568019867
+	park	0.3154364228248596
+	run	0.315420538187027
+	dollars	0.3153103291988373
+	does	0.31513628363609314
+	sells	0.3148185908794403
+	arcade	0.3147927224636078
+	produced	0.31473201513290405
+	worth	0.3147309720516205
+	worked	0.3147176504135132
+	quit	0.31460845470428467
+	quarters	0.3145005702972412
+	up	0.3144991397857666
+	blocks	0.31432288885116577
+	over	0.31429097056388855
+	hot	0.3142203092575073
+	ice	0.3141619563102722
+	serve	0.3141499161720276
+	flowers	0.3141421973705292
+	per	0.31382668018341064
+	recycled	0.3138134777545929
+	points	0.3136695921421051
+	left	0.3135460913181305
+	next	0.31352633237838745
+	either	0.31348058581352234
+	pick	0.3134680986404419
+	concert	0.3133260905742645
+	line	0.31318870186805725
+	pair	0.31306201219558716
+	money	0.31306129693984985
+	fair	0.3129333257675171
+	watermelons	0.3128158152103424
+	score	0.3128141462802887
+	served	0.3127633333206177
+	you	0.3127550482749939
+	Heads	0.3127186596393585
+	restaurant	0.31270429491996765
+	many	0.3126987814903259
+	had	0.3125092387199402
+	laps	0.3124288320541382
+	temp_c	0.3124067187309265
+	leave	0.31231728196144104
+	car	0.3123088479042053
+	comes	0.3121747374534607
+	school	0.31217160820961
+	science	0.3121098279953003
+	George	0.31205686926841736
+	hamburgers	0.3120235800743103
+	cans	0.31197282671928406
+	tip	0.31194478273391724
+	now	0.31193867325782776
+	days	0.3118988275527954
+	heavier	0.3118917644023895
+	Keith	0.3118818700313568
+	months	0.31172943115234375
+	Nancy	0.3116968870162964
+	cakes	0.3116813898086548
+	weighed	0.31166142225265503
+	minutes	0.3116193413734436
+	day	0.3115653395652771
+	bag	0.31146761775016785
+	oak	0.31131041049957275
+	Company	0.3112409710884094
+	end	0.31122633814811707
+	spend	0.3112185299396515
+	bus	0.31114017963409424
+	fill	0.311085045337677
+	Victor	0.31107959151268005
+	family	0.3110559582710266
+	On	0.3110484182834625
+	package	0.3110288381576538
+	walnut	0.311003178358078
+	costs	0.3109995424747467
+	Christine	0.31098511815071106
+	ladybugs	0.3109191358089447
+	weekend	0.31091225147247314
+	box	0.31080907583236694
+	band	0.31074100732803345
+	cat	0.31070998311042786
+	summer	0.3106829822063446
+	page	0.3106699585914612
+	year	0.31066176295280457
+	owns	0.31060680747032166
+	pastries	0.3104960024356842
+	nickels	0.3104957938194275
+	clothing	0.31049349904060364
+	baseball	0.31044551730155945
+	did	0.3104389011859894
+	clothes	0.31043338775634766
+	blue	0.3104114234447479
+	kittens	0.31034985184669495
+	out	0.31034135818481445
+	is	0.3103143572807312
+	with	0.3102871775627136
+	paint	0.31011807918548584
+	hours	0.3100857436656952
+	people	0.31007611751556396
+	packs	0.31002184748649597
+	One	0.31002169847488403
+	when	0.31001025438308716
+	She	0.3099859952926636
+	farmer	0.309974730014801
+	bucket	0.30997252464294434
+	When	0.30990418791770935
+	erasers	0.30990076065063477
+	First	0.3098989725112915
+	harvest	0.3098152279853821
+	Lemon	0.309731125831604
+	teacher	0.30969420075416565
+	an	0.30969294905662537
+	a	0.30966809391975403
+	birds	0.30961114168167114
+	saved	0.3095953166484833
+	made	0.30953148007392883
+	pears	0.3095027506351471
+	Pamela	0.3094884753227234
+	before	0.3094041347503662
+	drawer	0.3093932569026947
+	There	0.3093852698802948
+	ticket	0.30931806564331055
+	fountain	0.3093051016330719
